squad,squad_size,foreigners,squad_value_avg,squad_value
Parma Calcio 1913,46,31,1390000.0,64099999.99999999
AC Monza,36,8,1330000.0,47740000.0
US Cremonese,37,7,1180000.0,43600000.0
US Lecce,40,22,1060000.0,42300000.0
Brescia Calcio,36,18,1000000.0,36150000.0
Pisa Sporting Club,37,13,928000.0,34330000.0
SPAL,47,11,662000.0,31130000.0
Frosinone Calcio,43,14,715000.0,30730000.0
FC Crotone,47,20,578000.0,27180000.0
Benevento Calcio,39,11,696000.0,27150000.0
Ascoli Calcio,41,13,511000.0,20950000.0
LR Vicenza,48,8,408000.0,19600000.0
AC Perugia Calcio,39,9,483000.0,18850000.0
Como 1907,35,8,529000.0,18530000.0
Cosenza Calcio,49,15,368000.0,18030000.0
Reggina 1914,44,16,394000.0,17350000.0
Pordenone Calcio,44,8,394000.0,17330000.0
Ternana Calcio,39,10,442000.0,17250000.0
AS Cittadella,35,7,488000.0,17080000.0
US Alessandria Calcio 1912,45,3,314000.0,14130000.0
